epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.40968,1.15338,2.04414,1.17598,0.96166,0.13448,0.42295,0.26294,1.30464,2.72042,1.13698,0.000652778,0.000652778,0.000652778
2,9.38696,1.1816,1.50129,1.19615,0.5954,0.3807,0.46517,0.22239,1.54718,2.18376,1.40015,0.00130638,0.00130638,0.00130638
3,13.1098,1.24442,1.42072,1.25344,0.67209,0.50536,0.56138,0.31341,1.41424,1.55058,1.27939,0.00194679,0.00194679,0.00194679
4,17.0141,1.22911,1.30465,1.22469,0.43558,0.55898,0.37137,0.18097,1.4985,2.85399,1.35615,0.0019406,0.0019406,0.0019406
5,20.7702,1.22427,1.20215,1.23112,0.70565,0.62198,0.65999,0.33204,1.42191,1.1841,1.29043,0.0019208,0.0019208,0.0019208
6,24.4729,1.19531,1.03825,1.20297,0.77029,0.55764,0.64272,0.31555,1.4609,1.20331,1.3166,0.001901,0.001901,0.001901
7,28.131,1.18313,0.99728,1.19723,0.65565,0.4437,0.49418,0.25046,1.54105,1.68941,1.37657,0.0018812,0.0018812,0.0018812
8,31.8021,1.22124,1.02669,1.2217,0.79197,0.55625,0.64152,0.34045,1.39414,1.20239,1.25227,0.0018614,0.0018614,0.0018614
9,35.4316,1.10532,0.90964,1.17365,0.72828,0.66467,0.71757,0.38519,1.30955,1.02268,1.22776,0.0018416,0.0018416,0.0018416
10,39.0722,1.17832,0.93092,1.2048,0.75787,0.67426,0.7275,0.38686,1.31205,1.08156,1.22115,0.0018218,0.0018218,0.0018218
11,42.9133,1.16851,0.86094,1.16756,0.74454,0.66026,0.71641,0.40178,1.32947,0.86267,1.22227,0.001802,0.001802,0.001802
12,46.6501,1.16739,0.86799,1.19891,0.65886,0.61796,0.65026,0.36646,1.30335,1.19466,1.22268,0.0017822,0.0017822,0.0017822
